movie_id,titleType,originalTitle,isAdult
tt7286456,movie,Joker,0
tt4154796,movie,Avengers: Endgame,0
tt4154756,movie,Avengers: Infinity War,0
tt6751668,movie,Gisaengchung,0
tt1825683,movie,Black Panther,0
tt7131622,movie,Once Upon a Time... in Hollywood,0
tt8946378,movie,Knives Out,0
tt5463162,movie,Deadpool 2,0
tt8579674,movie,1917,0
tt4154664,movie,Captain Marvel,0
tt1727824,movie,Bohemian Rhapsody,0
tt6644200,movie,A Quiet Place,0
tt4633694,movie,Spider-Man: Into the Spider-Verse,0
tt6723592,movie,Tenet,0
tt1270797,movie,Venom,0
tt6966692,movie,Green Book,0
tt6320628,movie,Spider-Man: Far from Home,0
tt1477834,movie,Aquaman,0
tt2527338,movie,Star Wars: Episode IX - The Rise of Skywalker,0
tt1677720,movie,Ready Player One,0
tt5095030,movie,Ant-Man and the Wasp,0
tt1517451,movie,A Star Is Born,0
tt1302006,movie,The Irishman,0
tt2584384,movie,Jojo Rabbit,0
tt1950186,movie,Ford v Ferrari,0
tt3778644,movie,Solo: A Star Wars Story,0
tt6146586,movie,John Wick: Chapter 3 - Parabellum,0
tt2737304,movie,Bird Box,0
tt4912910,movie,Mission: Impossible - Fallout,0
tt0448115,movie,Shazam!,0
tt2798920,movie,Annihilation,0
tt8367814,movie,The Gentlemen,0
tt2948372,movie,Soul,0
tt4881806,movie,Jurassic World: Fallen Kingdom,0
tt7653254,movie,Marriage Story,0
tt7784604,movie,Hereditary,0
tt3606756,movie,Incredibles 2,0
tt8772262,movie,Midsommar,0
tt6857112,movie,Us,0
tt5727208,movie,Uncut Gems,0
tt0437086,movie,Alita: Battle Angel,0
tt6139732,movie,Aladdin,0
tt4123430,movie,Fantastic Beasts: The Crimes of Grindelwald,0
tt7349662,movie,BlacKkKlansman,0
tt7126948,movie,Wonder Woman 1984,0
tt7349950,movie,It Chapter Two,0
tt1979376,movie,Toy Story 4,0
tt6105098,movie,The Lion King,0
tt7975244,movie,Jumanji: The Next Level,0
tt6823368,movie,Glass,0
tt2704998,movie,Game Night,0
tt7713068,movie,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,0
tt2935510,movie,Ad Astra,0
tt9243946,movie,El Camino: A Breaking Bad Movie,0
tt1051906,movie,The Invisible Man,0
tt5164214,movie,Ocean's Eight,0
tt1365519,movie,Tomb Raider,0
tt8228288,movie,El hoyo,0
tt6806448,movie,Fast & Furious Presents: Hobbs & Shaw,0
tt8332922,movie,A Quiet Place Part II,0
tt7984734,movie,The Lighthouse,0
tt5083738,movie,The Favourite,0
tt8936646,movie,Extraction,0
tt3281548,movie,Little Women,0
tt1213641,movie,First Man,0
tt2873282,movie,Red Sparrow,0
tt5606664,movie,Doctor Sleep,0
tt6499752,movie,Upgrade,0
tt6565702,movie,Dark Phoenix,0
tt3741700,movie,Godzilla: King of the Monsters,0
tt6450804,movie,Terminator: Dark Fate,0
tt1560220,movie,Zombieland: Double Tap,0
tt1070874,movie,The Trial of the Chicago 7,0
tt2066051,movie,Rocketman,0
tt4779682,movie,The Meg,0
tt8106534,movie,6 Underground,0
tt3104988,movie,Crazy Rich Asians,0
tt4520988,movie,Frozen II,0
tt5104604,movie,Isle of Dogs,0
tt2231461,movie,Rampage,0
tt7846844,movie,Enola Holmes,0
tt7668870,movie,Searching,0
tt4701182,movie,Bumblebee,0
tt9620292,movie,Promising Young Woman,0
tt5884052,movie,Pokémon: Detective Pikachu,0
tt7556122,movie,The Old Guard,0
tt1502397,movie,Bad Boys for Life,0
tt6155172,movie,Roma,0
tt3766354,movie,The Equalizer 2,0
tt5848272,movie,Ralph Breaks the Internet,0
tt9770150,movie,Nomadland,0
tt8079248,movie,Yesterday,0
tt9484998,movie,Palm Springs,0
tt1502407,movie,Halloween,0
tt7040874,movie,A Simple Favor,0
tt6628394,movie,Bad Times at the El Royale,0
tt4566758,movie,Mulan,0
tt5052474,movie,Sicario: Day of the Soldado,0
tt6412452,movie,The Ballad of Buster Scruggs,0
tt6266538,movie,Vice,0
tt4729430,movie,Klaus,0
tt7146812,movie,Onward,0
tt10288566,movie,Druk,0
tt7798634,movie,Ready or Not,0
tt13143964,movie,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,0
tt5814060,movie,The Nun,0
tt4500922,movie,Maze Runner: The Death Cure,0
tt7959026,movie,The Mule,0
tt10272386,movie,The Father,0
tt2854926,movie,Tag,0
tt2283336,movie,Men in Black: International,0
tt8110330,movie,Dil Bechara,0
tt9893250,movie,I Care a Lot,0
tt3829266,movie,The Predator,0
tt7395114,movie,The Devil All the Time,0
tt9495224,movie,Black Mirror: Bandersnatch,0
tt1488606,movie,Triple Frontier,0
tt1571234,movie,Mortal Engines,0
tt2386490,movie,How to Train Your Dragon: The Hidden World,0
tt1618434,movie,Murder Mystery,0
tt8404614,movie,The Two Popes,0
tt6343314,movie,Creed II,0
tt7984766,movie,The King,0
tt5758778,movie,Skyscraper,0
tt2222042,movie,Love and Monsters,0
tt5363618,movie,Sound of Metal,0
tt3794354,movie,Sonic the Hedgehog,0
tt5886046,movie,Escape Room,0
tt2557478,movie,Pacific Rim: Uprising,0
tt1590193,movie,The Commuter,0
tt1489887,movie,Booksmart,0
tt5164432,movie,"Love, Simon",0
tt6394270,movie,Bombshell,0
tt1025100,movie,Gemini Man,0
tt7737786,movie,Greenland,0
tt10189514,movie,Soorarai Pottru,0
tt2139881,movie,Long Shot,0
tt1259528,movie,Den of Thieves,0
tt7401588,movie,Instant Family,0
tt2548396,movie,The Cloverfield Paradox,0
tt3846674,movie,To All the Boys I've Loved Before,0
tt8244784,movie,The Hunt,0
tt4777008,movie,Maleficent: Mistress of Evil,0
tt4530422,movie,Overlord,0
tt5503686,movie,Hustlers,0
tt4218572,movie,Widows,0
tt7886848,movie,Sadak 2,0
tt1206885,movie,Rambo: Last Blood,0
tt6189022,movie,Angel Has Fallen,0
tt7752126,movie,Brightburn,0
tt6048922,movie,Greyhound,0
tt6911608,movie,Mamma Mia! Here We Go Again,0
tt0837563,movie,Pet Sematary,0
tt8580274,movie,Eurovision Song Contest: The Story of Fire Saga,0
tt2481498,movie,"Extremely Wicked, Shockingly Evil and Vile",0
tt8108198,movie,Andhadhun,0
tt4364194,movie,The Peanut Butter Falcon,0
tt6292852,movie,I Am Mother,0
tt1860242,movie,The Highwaymen,0
tt2274648,movie,Hellboy,0
tt4139588,movie,Polar,0
tt5028340,movie,Mary Poppins Returns,0
tt8503618,movie,Hamilton,0
tt8629748,movie,Spenser Confidential,0
tt8613070,movie,Portrait de la jeune fille en feu,0
tt7550000,movie,Project Power,0
tt8267604,movie,Capharnaüm,0
tt6878306,movie,News of the World,0
tt9071322,movie,Dark Waters,0
tt3513548,movie,Richard Jewell,0
tt8364368,movie,Crawl,0
tt10539608,movie,The Midnight Sky,0
tt6924650,movie,Midway,0
tt3799232,movie,The Kissing Booth,0
tt10554232,movie,Dara iz Jasenovca,0
tt7939766,movie,I'm Thinking of Ending Things,0
tt6513120,movie,Fighting with My Family,0
tt2531344,movie,Blockers,0
tt5774060,movie,Underwater,0
tt7456310,movie,Anna,0
tt1413492,movie,12 Strong,0
tt4560436,movie,Mile 22,0
tt6663582,movie,The Spy Who Dumped Me,0
tt3224458,movie,A Beautiful Day in the Neighborhood,0
tt4575576,movie,Christopher Robin,0
tt8623904,movie,Last Christmas,0
tt1634106,movie,Bloodshot,0
tt10886166,movie,365 dni,0
tt8695030,movie,The Dead Don't Die,0
tt5688932,movie,Sorry to Bother You,0
tt6998518,movie,Mandy,0
tt3861390,movie,Dumbo,0
tt4682266,movie,The New Mutants,0
tt7014006,movie,Eighth Grade,0
tt3387520,movie,Scary Stories to Tell in the Dark,0
tt10280276,movie,Coolie No. 1,0
tt8075192,movie,Manbiki kazoku,0
tt1034415,movie,Suspiria,0
tt10633456,movie,Minari,0
tt6977338,movie,Good Boys,0
tt6921996,movie,Johnny English Strikes Again,0
tt4532826,movie,Robin Hood,0
tt8350360,movie,Annabelle Comes Home,0
tt4003440,movie,The House That Jack Built,0
tt2990140,movie,The Christmas Chronicles,0
tt1137450,movie,Death Wish,0
tt10618286,movie,Mank,0
tt8155288,movie,Happy Death Day 2U,0
tt5220122,movie,Hotel Transylvania 3: Summer Vacation,0
tt1226837,movie,Beautiful Boy,0
tt4332232,movie,Fractured,0
tt5033998,movie,Charlie's Angels,0
tt6679794,movie,Outlaw King,0
tt2452244,movie,Isn't It Romantic,0
tt2709692,movie,The Grinch,0
tt5719748,movie,Cold Pursuit,0
tt8633478,movie,Run,0
tt8359848,movie,Climax,0
tt6850820,movie,Peppermint,0
tt4916630,movie,Just Mercy,0
tt3513498,movie,The Lego Movie 2: The Second Part,0
tt4477536,movie,Fifty Shades Freed,0
tt10059518,movie,Unhinged,0
tt8688634,movie,21 Bridges,0
tt4971344,movie,Les frères Sisters,0
tt6133466,movie,The First Purge,0
tt9866072,movie,Holidate,0
tt8637428,movie,The Farewell,0
tt1846589,movie,Hunter Killer,0
tt6673612,movie,Dolittle,0
tt4244998,movie,Alpha,0
tt7638348,movie,Boss Level,0
tt5461944,movie,Hotel Mumbai,0
tt7282468,movie,Beoning,0
tt2388771,movie,Mowgli,0
tt6472976,movie,Five Feet Apart,0
tt5613484,movie,Mid90s,0
tt9686708,movie,The King of Staten Island,0
tt5113040,movie,The Secret Life of Pets 2,0
tt8526872,movie,Dolemite Is My Name,0
tt7043012,movie,Velvet Buzzsaw,0
tt7838252,movie,K.G.F: Chapter 1,0
tt5726086,movie,Insidious: The Last Key,0
tt5610554,movie,Tully,0
tt8291224,movie,Uri: The Surgical Strike,0
tt3892172,movie,Leave No Trace,0
tt6902676,movie,Guns Akimbo,0
tt1298644,movie,The Hustle,0
tt6742252,movie,Den skyldige,0
tt10350922,movie,Laxmii,0
tt8291806,movie,Dolor y gloria,0
tt6543652,movie,Zimna wojna,0
tt0385887,movie,Motherless Brooklyn,0
tt7668842,movie,Enes Batur Hayal mi Gerçek mi?,0
tt6306064,movie,Adrift,0
tt6475714,movie,Monster Hunter,0
tt7825208,movie,Marighella,0
tt7374948,movie,Always Be My Maybe,0
tt6772950,movie,Truth or Dare,0
tt4687108,movie,In the Tall Grass,0
tt5968394,movie,Captive State,0
tt8368406,movie,Vivarium,0
tt6791096,movie,I Feel Pretty,0
tt6908274,movie,Durante la tormenta,0
tt10919380,movie,Freaky,0
tt6452574,movie,Sanju,0
tt8784956,movie,Ava,0
tt8368512,movie,The Courier,0
tt5834262,movie,Hotel Artemis,0
tt3201640,movie,Extinction,0
tt7958736,movie,Ma,0
tt4463894,movie,Shaft,0
tt6398184,movie,Downton Abbey,0
tt4126476,movie,After,0
tt4595882,movie,Can You Ever Forgive Me?,0
tt6820256,movie,Arctic,0
tt2119543,movie,The House with a Clock in Its Walls,0
tt11032374,movie,Kimetsu no Yaiba: Mugen Ressha-Hen,0
tt6217306,movie,Apostle,0
tt8663516,movie,Child's Play,0
tt8110640,movie,In the Shadow of the Moon,0
tt5304992,movie,Set It Up,0
tt10514222,movie,Ma Rainey's Black Bottom,0
tt9777644,movie,Da 5 Bloods,0
tt5865326,movie,The Laundromat,0
tt5697572,movie,Cats,0
tt5246700,movie,How It Ends,0
tt7549996,movie,Judy,0
tt9052870,movie,Chhichhore,0
tt2328900,movie,Mary Queen of Scots,0
tt0983946,movie,Fantasy Island,0
tt4913966,movie,The Curse of La Llorona,0
tt5783956,movie,When We First Met,0
tt9214832,movie,Emma.,0
tt7125860,movie,If Beale Street Could Talk,0
tt1838556,movie,Honest Thief,0
tt11161474,movie,Pieces of a Woman,0
tt10682266,movie,Hubie Halloween,0
tt0800325,movie,The Dirt,0
tt7504726,movie,The Call of the Wild,0
tt5177088,movie,The Girl in the Spider's Web,0
tt10431500,movie,Yedinci Kogustaki Mucize,0
tt6079516,movie,I See You,0
tt5116302,movie,Togo,0
tt7734218,movie,Stuber,0
tt5814534,movie,Spies in Disguise,0
tt7431594,movie,Race 3,0
tt7153766,movie,Unsane,0
tt5431890,movie,Official Secrets,0
tt2837574,movie,The Old Man & the Gun,0
tt5073642,movie,Color Out of Space,0
tt6491178,movie,Dragged Across Concrete,0
tt1289403,movie,The Guernsey Literary and Potato Peel Pie Society,0
tt1620680,movie,A Wrinkle in Time,0
tt5932728,movie,The Professor and the Madman,0
tt1086064,movie,Bill & Ted Face the Music,0
tt7347846,movie,The Lodge,0
tt7315484,movie,The Silence,0
tt8544498,movie,The Way Back,0
tt6212478,movie,American Animals,0
tt5397194,movie,Anon,0
tt11655202,movie,Retfærdighedens ryttere,0
tt7985648,movie,Tomiris,0
tt7772580,movie,The Perfection,0
tt7139936,movie,A Rainy Day in New York,0
tt5117670,movie,Peter Rabbit,0
tt8236336,movie,The Report,0
tt5208252,movie,Operation Finale,0
tt8239946,movie,Tumbbad,0
tt6772802,movie,Hillbilly Elegy,0
tt5691670,movie,Under the Silver Lake,0
tt6476140,movie,Serenity,0
tt2235695,movie,Rebecca,0
tt6781982,movie,Night School,0
tt2850386,movie,The Croods: A New Age,0
tt5563334,movie,The Good Liar,0
tt8206668,movie,Bad Education,0
tt3361792,movie,Tolkien,0
tt5774450,movie,Summer of 84,0
tt6259380,movie,Code 8,0
tt7060344,movie,Ratsasan,0
tt6182908,movie,Smallfoot,0
tt3120280,movie,Sierra Burgess Is a Loser,0
tt8508734,movie,His House,0
tt9619798,movie,The Wrong Missy,0
tt8201170,movie,The Perfect Date,0
tt7212754,movie,Ludo,0
tt2395469,movie,Gully Boy,0
tt1563742,movie,Overboard,0
tt7008872,movie,Boy Erased,0
tt9731534,movie,The Night House,0
tt4154916,movie,Replicas,0
tt0805647,movie,The Witches,0
tt6803046,movie,The Vast of Night,0
tt1620981,movie,The Addams Family,0
tt6324278,movie,Abominable,0
tt8522006,movie,Happiest Season,0
tt11024272,movie,The Babysitter: Killer Queen,0
tt5619332,movie,Life of the Party,0
tt9354842,movie,To All the Boys: P.S. I Still Love You,0
tt10620868,movie,#Saraitda,0
tt3385524,movie,Stan & Ollie,0
tt5057140,movie,Hold the Dark,0
tt7339248,movie,The Art of Self-Defense,0
tt4537896,movie,White Boy Rick,0
tt6107548,movie,Late Night,0
tt7533152,movie,The Boy Who Harnessed the Wind,0
tt6697582,movie,Arif V 216,0
tt9426210,movie,Tenki no ko,0
tt1255919,movie,Holmes & Watson,0
tt8151874,movie,Honey Boy,0
tt10039344,movie,Countdown,0
tt5001754,movie,Braven,0
tt5580266,movie,The Hate U Give,0
tt9683478,movie,The Half of It,0
tt1464763,movie,Mute,0
tt10350626,movie,Gunjan Saxena: The Kargil Girl,0
tt4827558,movie,High Life,0
tt5294518,movie,Eli,0
tt5797184,movie,Escape from Pretoria,0
tt6938828,movie,At Eternity's Gate,0
tt7608028,movie,The Open House,0
tt4964788,movie,Todos lo saben,0
tt3256226,movie,IO,0
tt8781414,movie,Freaks,0
tt1072748,movie,Winchester,0
tt4669788,movie,On the Basis of Sex,0
tt1833116,movie,The Informer,0
tt7725596,movie,Badhaai ho,0
tt5690360,movie,Slender Man,0
tt7280898,movie,22-Jul,0
tt5523010,movie,The Nutcracker and the Four Realms,0
tt4878482,movie,Dumplin',0
tt8108202,movie,Stree,0
tt2639336,movie,Greta,0
tt6802308,movie,The 15:17 to Paris,0
tt5918982,movie,Possessor,0
tt6141246,movie,The Aeronauts,0
tt7557108,movie,Saint Maud,0
tt4761916,movie,Unfriended: Dark Web,0
tt9806192,movie,J'ai perdu mon corps,0
tt4073790,movie,The Darkest Minds,0
tt3833480,movie,The Outpost,0
tt9398640,movie,Between Two Ferns: The Movie,0
tt6513656,movie,Escape Plan 2: Hades,0
tt8108268,movie,The Tashkent Files,0
tt5935704,movie,Padmaavat,0
tt10612922,movie,One Night in Miami...,0
tt8983202,movie,Kabir Singh,0
tt8633462,movie,"Quo vadis, Aida?",0
tt8850222,movie,Bando,0
tt4986098,movie,The Titan,0
tt8361028,movie,Cam,0
tt2076298,movie,Yip Man 4,0
tt9606374,movie,On the Rocks,0
tt4357394,movie,Tau,0
tt7721800,movie,Bharat,0
tt8722346,movie,Queen & Slim,0
tt1285009,movie,The Strangers: Prey at Night,0
tt7242142,movie,Blindspotting,0
tt6865690,movie,The Professor,0
tt9196192,movie,Mignonnes,0
tt10324144,movie,Article 15,0
tt7605074,movie,Liu lang di qiu,0
tt6195094,movie,Ghostland,0
tt1478839,movie,The Art of Racing in the Rain,0
tt9784456,movie,The Kissing Booth 2,0
tt7547410,movie,Dora and the Lost City of Gold,0
tt9086228,movie,Gretel & Hansel,0
tt7098658,movie,Raazi,0
tt5198068,movie,WolfWalkers,0
tt4799066,movie,Midnight Sun,0
tt3721964,movie,Gringo,0
tt3317234,movie,"Game Over, Man!",0
tt7485048,movie,Super 30,0
tt8242084,movie,My Spy,0
tt11057644,movie,The Christmas Chronicles: Part Two,0
tt10530176,movie,Kol,0
tt3907584,movie,All the Bright Places,0
tt10362466,movie,After We Collided,0
tt7137380,movie,Destroyer,0
tt6987770,movie,Destination Wedding,0
tt5501104,movie,Gräns,0
tt4068576,movie,The Nightingale,0
tt4995776,movie,Operation Brothers,0
tt7019842,movie,96,0
tt5929754,movie,Wildlife,0
tt9016974,movie,Synchronic,0
tt8108274,movie,Tanhaji: The Unsung Warrior,0
tt6218358,movie,Calibre,0
tt6857166,movie,Book Club,0
tt6095472,movie,The Angry Birds Movie 2,0
tt6436726,movie,7500,0
tt1308728,movie,The Happytime Murders,0
tt7634968,movie,What Men Want,0
tt8954732,movie,The Princess Switch,0
tt6535880,movie,Haunt,0
tt3089630,movie,Artemis Fowl,0
tt7946422,movie,Prospect,0
tt6527426,movie,Zero,0
tt8130968,movie,Badla,0
tt10003008,movie,The Rental,0
tt12749596,movie,Host,0
tt9614460,movie,Chhapaak,0
tt2126357,movie,Second Act,0
tt10161886,movie,The Prom,0
tt6285944,movie,The Banker,0
tt10964430,movie,Thappad,0
tt2762506,movie,Bacurau,0
tt6269368,movie,The Clovehitch Killer,0
tt0859635,movie,Super Troopers 2,0
tt6768578,movie,Dogman,0
tt7772582,movie,Never Rarely Sometimes Always,0
tt7961060,movie,Doragon bôru chô: Burorî,0
tt4504044,movie,The Prodigy,0
tt6288124,movie,"Don't Worry, He Won't Get Far on Foot",0
tt7748244,movie,Ölümlü Dünya,0
tt9477520,movie,Asuran,0
tt9252468,movie,Mosul,0
tt4648786,movie,Harriet,0
tt9072352,movie,Relic,0
tt10521092,movie,De slag om de Schelde,0
tt3152592,movie,Scoob!,0
tt6116856,movie,The Night Comes for Us,0
tt8851668,movie,The Lovebirds,0
tt6348138,movie,Missing Link,0
tt9354944,movie,Jexi,0
tt10065694,movie,Antebellum,0
tt7218518,movie,Padman,0
tt7329656,movie,47 Meters Down: Uncaged,0
tt3612126,movie,The Grudge,0
tt2011311,movie,The Outsider,0
tt5867314,movie,The Empty Man,0
tt9691136,movie,Shadow in the Cloud,0
tt6521876,movie,Jay and Silent Bob Reboot,0
tt8266310,movie,Blinded by the Light,0
tt5316540,movie,Close,0
tt9340860,movie,Let Him Go,0
tt10199590,movie,Les misérables,0
tt6628102,movie,Ahlat Agaci,0
